"country","offset"
"Afghanistan",4.5
"Aland Islands<U+00A0>(Finland)",2
"Albania",1
"Algeria",1
"American Samoa<U+00A0>(USA)",-1
"Andorra",1
"Angola",1
"Anguilla<U+00A0>(UK)",-4
"Antigua and Barbuda",-4
"Argentina",-3
"Armenia",4
"Aruba<U+00A0>(Netherlands)",-4
"Ascension Island<U+00A0>(UK)",0
"Australia,<U+00A0>Western Australia (WA)",8
"Australia,<U+00A0>South Australia (SA)",9.5
"Australia,<U+00A0>Northern Territory (NT)",9.5
"Australia,<U+00A0>New South Wales (NSW), Tasmania (TAS), Victoria (VIC), Australian Capital Territory (ACT) with Canberra capital city",0
"Australia,<U+00A0>Queensland (QLD)",0
"Australia,<U+00A0>Lord Howe Island (New South Wales)",0.5
"Australia,<U+00A0>Macquarie Island (Tasmania)",1
"Austria",1
"Azerbaijan",4
"Bahamas",-5
"Bahrain",3
"Bangladesh",6
"Barbados",-4
"Belarus",3
"Belgium",1
"Belize",-6
"Benin",1
"Bermuda<U+00A0>(UK)",-4
"Bhutan",6
"Bolivia",-4
"Bonaire<U+00A0>(Netherlands)",-4
"Bosnia and Herzegovina",1
"Botswana",2
"Brazil,<U+00A0>Acre, Southwest Amazonas",-5
"Brazil,<U+00A0>Most of Amazonas, Rondonia, Roraima",-4
"Brazil,<U+00A0>Mato Grosso do Sul, Mato Grosso",-4
"Brazil,<U+00A0>Alagoas, Amapa, Maranhao, Para, Piaui, Ceara, Sergipe, Paraiba, Pernambuco, Rio Grande do Norte, Bahia, Tocantins",-3
"Brazil,<U+00A0>Distrito Federal, Espirito Santo, Goias, Minas Gerais, Parana, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, Sao Paulo",-3
"Brazil,<U+00A0>small islands in Atlantic (Fernando de Noronha, Trindade)",-2
"British Indian Ocean Territory<U+00A0>(UK)",6
"British Virgin Islands<U+00A0>(UK)",-4
"Brunei",8
"Bulgaria",2
"Burkina Faso",0
"Burundi",2
"Cabo Verde",-1
"Cambodia",7
"Cameroon",1
"Caribbean Netherlands<U+00A0>(Netherlands)",-4
"Cayman Islands<U+00A0>(UK)",-5
"Central African Republic",1
"Chad",1
"Chatham Islands<U+00A0>(New Zealand)",2
"Chile,<U+00A0>main territory",-4
"Chile,<U+00A0>Magallanes Region",-3
"Chile,<U+00A0>Easter Island",-6
"China",8
"Christmas Island<U+00A0>(Australia)",7
"Cocos (Keeling) Islands<U+00A0>(Australia)",6.5
"Colombia",-5
"Comoros",3
"Congo, Republic of the",1
"Congo, Dem. Rep.,<U+00A0>western part",1
"Congo, Dem. Rep.,<U+00A0>eastern part",2
"Cook Islands<U+00A0>(New Zealand)",0
"Costa Rica",-6
"Cote d'Ivoire",0
"Croatia",1
"Cuba",-5
"Curacao<U+00A0>(Netherlands)",-4
"Cyprus",2
"Czech Republic",1
"Denmark",1
"Djibouti",3
"Dominica",-4
"Dominican Republic",-4
"Ecuador,<U+00A0>main territory",-5
"Ecuador,<U+00A0>Galapagos Province",-6
"Egypt",2
"El Salvador",-6
"Equatorial Guinea",1
"Eritrea",3
"Estonia",2
"Eswatini (formerly Swaziland)",2
"Ethiopia",3
"Falkland Islands<U+00A0>(UK)",-3
"Faroe Islands<U+00A0>(Denmark)",0
"Fiji",2
"Finland",2
"France",1
"French Guiana<U+00A0>(France)",-3
"French Polynesia,<U+00A0>Tahiti Island (France)",0
"French Polynesia,<U+00A0>Marquesas Islands (France)",-9.5
"French Polynesia,<U+00A0>Gambier Islands (France)",-9
"Gabon",1
"Gambia",0
"Georgia",4
"Germany",1
"Ghana",0
"Gibraltar<U+00A0>(UK)",1
"Greece",2
"Greenland<U+00A0>(Denmark), most of",-3
"Greenland<U+00A0>(Denmark), Thule Air Base",-4
"Greenland<U+00A0>(Denmark), Ittoqqortoormiit",-1
"Greenland<U+00A0>(Denmark), Danmarkshavn, Station Nord",0
"Grenada",-4
"Guadeloupe<U+00A0>(France)",-4
"Guam<U+00A0>(USA)",0
"Guatemala",-6
"Guernsey<U+00A0>(UK)",0
"Guinea",0
"Guinea-Bissau",0
"Guyana",-4
"Haiti",-5
"Honduras",-6
"Hong Kong<U+00A0>(China)",8
"Hungary",1
"Iceland",0
"India",5.5
"Indonesia,<U+00A0>Sumatra Island, Java Island, West Kalimantan, Central Kalimantan",7
"Indonesia,<U+00A0>Sulawesi Island, Lesser Sunda Islands, North Kalimantan, East Kalimantan, South Kalimantan",8
"Indonesia,<U+00A0>Maluku Islands, Papua, West Papua",9
"Iran",3.5
"Iraq",3
"Ireland",0
"Isle of Man<U+00A0>(UK)",0
"Israel",2
"Italy",1
"Jamaica",-5
"Japan",9
"Jersey<U+00A0>(UK)",0
"Jordan",2
"Kazakhstan,<U+00A0>western part",5
"Kazakhstan,<U+00A0>eastern part",6
"Kenya",3
"Kerguelen Islands<U+00A0>(France)",5
"Kiribati,<U+00A0>Gilbert Islands",2
"Kiribati,<U+00A0>Phoenix Islands",3
"Kiribati,<U+00A0>Line Islands",4
"Kosovo",1
"Kuwait",3
"Kyrgyzstan",6
"Laos",7
"Latvia",2
"Lebanon",2
"Lesotho",2
"Liberia",0
"Libya",2
"Liechtenstein",1
"Lithuania",2
"Luxembourg",1
"Macau<U+00A0>(China)",8
"Macedonia (FYROM)",1
"Madagascar",3
"Malawi",2
"Malaysia",8
"Maldives",5
"Mali",0
"Malta",1
"Marshall Islands",2
"Martinique<U+00A0>(France)",-4
"Mauritania",0
"Mauritius",4
"Mayotte<U+00A0>(France)",3
"Mexico,<U+00A0>most of",-6
"Mexico,<U+00A0>state of Quintana Roo",-5
"Mexico,<U+00A0>states of Baja California Sur, Chihuahua, Nayarit, Sinaloa",-7
"Mexico,<U+00A0>state of Sonora",-7
"Mexico,<U+00A0>state of Baja California",-8
"Micronesia,<U+00A0>states of Chuuk and Yap",0
"Micronesia,<U+00A0>states of Kosrae and Pohnpei",1
"Moldova",2
"Monaco",1
"Mongolia,<U+00A0>most of",8
"Mongolia,<U+00A0>provinces of Khovd, Uvs, Bayan-Olgii",7
"Montenegro",1
"Montserrat<U+00A0>(UK)",-4
"Morocco",0
"Mozambique",2
"Myanmar (formerly Burma)",6.5
"Namibia",2
"Nauru",2
"Nepal",5
"Netherlands",1
"New Caledonia<U+00A0>(France)",1
"New Zealand",2
"Nicaragua",-6
"Niger",1
"Nigeria",1
"Niue<U+00A0>(New Zealand)",-1
"Norfolk Island<U+00A0>(Australia)",1
"Northern Mariana Islands<U+00A0>(USA)",0
"North Korea",9
"Norway",1
"Oman",4
"Pakistan",5
"Palau",9
"Palestine",2
"Panama",-5
"Papua New Guinea,<U+00A0>most of",0
"Papua New Guinea,<U+00A0>Bougainville Island",1
"Paraguay",-4
"Peru",-5
"Philippines",8
"Pitcairn Islands<U+00A0>(UK)",-8
"Poland",1
"Portugal,<U+00A0>main territory",0
"Portugal,<U+00A0>Azores",-1
"Puerto Rico<U+00A0>(USA)",-4
"Qatar",3
"Reunion<U+00A0>(France)",4
"Romania",2
"Rwanda",2
"Saba<U+00A0>(Netherlands)",-4
"Saint Barthelemy<U+00A0>(France)",-4
"Saint Helena<U+00A0>(UK)",0
"Saint Kitts and Nevis",-4
"Saint Lucia",-4
"Saint Martin<U+00A0>(France)",-4
"Saint Pierre and Miquelon<U+00A0>(France)",-3
"Saint Vincent and the Grenadines",-4
"Samoa",3
"San Marino",1
"Sao Tome and Principe",1
"Saudi Arabia",3
"Senegal",0
"Serbia",1
"Seychelles",4
"Sierra Leone",0
"Singapore",8
"Sint Eustatius<U+00A0>(Netherlands)",-4
"Sint Maarten<U+00A0>(Netherlands)",-4
"Slovakia",1
"Slovenia",1
"Solomon Islands",1
"Somalia",3
"South Africa",2
"South Georgia Island<U+00A0>(UK)",-2
"South Korea",9
"South Sudan",3
"Spain,<U+00A0>main territory",1
"Spain,<U+00A0>Canary Islands",0
"Sri Lanka",5.5
"Sudan",2
"Suriname",-3
"Svalbard and Jan Mayen<U+00A0>(Norway)",1
"Sweden",1
"Switzerland",1
"Syria",2
"Taiwan",8
"Tajikistan",5
"Tanzania",3
"Thailand",7
"Timor-Leste",9
"Togo",0
"Tokelau<U+00A0>(New Zealand)",3
"Tonga",3
"Trinidad and Tobago",-4
"Tristan da Cunha<U+00A0>(UK)",0
"Tunisia",1
"Turkey",3
"Turkmenistan",5
"Turks and Caicos Islands<U+00A0>(UK)",-4
"Tuvalu",2
"Uganda",3
"Ukraine",2
"United Arab Emirates",4
"United Kingdom",0
"Uruguay",-3
"US Virgin Islands<U+00A0>(USA)",-4
"Uzbekistan",5
"Vanuatu",1
"Vatican City (Holy See)",1
"Venezuela",-4
"Vietnam",7
"Wake Island<U+00A0>(USA)",2
"Wallis and Futuna<U+00A0>(France)",2
"Yemen",3
"Zambia",2
"Zimbabwe",2
"Australia",8
"United States",-5
"Russia",3
"Spain",1
"U.S. Virgin Islands",-4
"Puerto Rico",-4
"Portugal",0
"Myanmar (Burma)",6.5
"Mexico",-6
"Macau (China)",8
"Kazakhstan",5
"Indonesia",8
"Guernsey",0
"Ecuador",-5
"Czechia",1
"Chile",-4
"Canada",-5
"Brazil",-3
"Bermuda",-4
"Anguilla",-4
"American Samoa",-11
"<U+00C5>land Islands",2
"Aland Islands",2
